report_number,accident_year,accident_date,operator_id,operator_name,pipeline_location,pipeline_type,liquid_type,accident_city,accident_county,accident_state,accident_latitude,accident_longitude,cause_category,unintentional_release,intentional_release,liquid_recover,net_loss,liquid_ignition,liquid_explosion,pipeline_shutdown,public_evacuations,all_injuries,all_fatalities,property_damage_costs,lost_commodity_costs,public_private_property_damage_costs,emergency_response_costs,environmental_remediation_costs,other_costs,all_costs,close_time
20100016,2010,2010-01-01T07:15:00Z,32109,ONEOK NGL PIPELINE LP,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MCPHERSON,MCPHERSON,KS,38.6707,-97.78123,INCORRECT OPERATION,21,0.1,0,21,NO,NO,NO,NA,0,0,110,1517,0,0,0,0,1627,0
20100254,2010,2010-01-04T08:30:00Z,15786,PORTLAND PIPELINE CORP,ONSHORE,ABOVEGROUND,CRUDE OIL,RAYMOND,CUMBERLAND,ME,43.94028,-70.49336,MATERIAL/WELD/EQUIP FAILURE,0.12,0,0.12,0,NO,NO,NA,NA,0,0,4000,8,0,0,0,0,4008,0
20100038,2010,2010-01-05T10:30:00Z,20160,"PETROLOGISTICS OLEFINS, LLC",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SULPHER,CALCASIEU,LA,30.1824,-93.3524,MATERIAL/WELD/EQUIP FAILURE,2,0,0,2,NO,NO,NA,NA,0,0,0,200,0,0,0,0,200,0
20100260,2010,2010-01-06T19:30:00Z,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,SUPERIOR,DOUGLAS,WI,46.6893,-92.0612,NATURAL FORCE DAMAGE,0.48,0,0.48,0,NO,NO,NA,NA,0,0,200,40,0,11300,0,0,11540,0
20100030,2010,2010-01-07T13:00:00Z,300,"PLAINS PIPELINE, L.P.",ONSHORE,UNDERGROUND,CRUDE OIL,SHERMAN,GRAYSON,TX,33.58266,-96.64881,EXCAVATION DAMAGE,700,NA,698,2,NO,NO,NO,NA,0,0,20000,150,0,7500,2000,0,29650,0
20100021,2010,2010-01-08T23:38:00Z,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",ONSHORE,UNDERGROUND,CRUDE OIL,NECHE,PEMBINA,ND,48.99555,-97.52554,MATERIAL/WELD/EQUIP FAILURE,3784,0,1547,2237,NO,NO,YES,0,0,0,76940,167775,150000,1800000,2000000,0,4194715,6336
20110036,2010,2010-01-09T00:15:00Z,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,35,0,30,5,NO,NO,NO,NA,0,0,0,400,0,0,70000,0,70400,0
20100255,2010,2010-01-09T01:12:00Z,12624,MOBIL CORP,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",HULL,LIBERTY,TX,30.08533,-94.3805,NATURAL FORCE DAMAGE,0.24,0,0,0.24,NO,NO,NA,NA,0,0,400,13,0,0,0,0,413,0
20100261,2010,2010-01-10T19:46:00Z,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NA,NA,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,0.4,0,0.4,0,NO,NO,NA,NA,0,0,0,336,0,0,40000,0,40336,0
20100024,2010,2010-01-11T14:30:00Z,31684,CONOCOPHILLIPS,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PASADENA,HARRIS,TX,29.71478,-95.17611,ALL OTHER CAUSES,0.48,0,0.48,0,NO,NO,NO,NA,0,0,0,50,0,10000,10000,10000,30050,0
20100150,2010,2010-01-11T14:30:00Z,32296,TARGA RESOURCES OPERATING LP,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LAKE CHARLES,CALCASIEU,LA,30.25989,-93.20991,NATURAL FORCE DAMAGE,2237,25,0,2237,NO,NO,YES,0,0,0,29360,136233,NA,NA,NA,NA,165593,5775
20100262,2010,2010-01-11T14:47:00Z,31454,"NUSTAR LOGISTICS, L.P.",ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TAFT,SAN PATRICO,TX,28.05529,-97.32797,MATERIAL/WELD/EQUIP FAILURE,3,0,3,0,NO,NO,YES,0,0,0,30000,415,10000,7971,308883,0,357269,433
20100234,2010,2010-01-11T15:00:00Z,9175,JAYHAWK PIPELINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,CHASE,RICE,KS,38.34519,-98.31356,CORROSION,2,NA,1,1,NO,NO,YES,NA,0,0,2000,150,0,3000,6500,500,12150,2810
20100026,2010,2010-01-11T23:00:00Z,31684,CONOCOPHILLIPS,ONSHORE,TANK,CRUDE OIL,CUSHING,PAYNE,OK,35.94466,-96.75427,NATURAL FORCE DAMAGE,53,0,51,2,NO,NO,NO,NA,0,0,5000,150,0,0,100,32600,37850,0
20100106,2010,2010-01-12T10:25:00Z,26085,"PLAINS MARKETING, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,CUSHING,LINCOLN,OK,35.93749,-96.74417,CORROSION,21,0,21,0,NO,NO,YES,0,0,0,6826,150,0,13357,0,0,20333,2880
20100082,2010,2010-01-12T14:30:00Z,32080,"CCPS TRANSPORTATION, LLC",ONSHORE,ABOVEGROUND,CRUDE OIL,RUSHVILLE,SCHUYLER,IL,40.16833,-90.56593,INCORRECT OPERATION,0.19,0,0.19,0,NO,NO,NO,NA,0,0,2500,0,0,30000,0,0,32500,0
20100037,2010,2010-01-12T19:08:00Z,12105,"MAGELLAN AMMONIA PIPELINE, L.P.",ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",PAWNEE,PAWNEE,OK,36.39836,-96.74622,MATERIAL/WELD/EQUIP FAILURE,445,5,0,445,NO,NO,YES,19,0,0,175000,34000,68000,324000,1901615,15000,2517615,11246
20100025,2010,2010-01-13T07:36:00Z,31174,"SHELL PIPELINE CO., L.P.",ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",SORRENTO,ASCENSION,LA,30.1724,-90.782,NATURAL FORCE DAMAGE,3.49,0,0,3.49,NO,NO,NO,0,0,0,0,254,0,0,0,0,254,0
20110071,2010,2010-01-13T13:30:00Z,26041,"KINDER MORGAN LIQUID TERMINALS, LLC",ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GALENA PARK,HARRIS,TX,29.4305,-95.1201,MATERIAL/WELD/EQUIP FAILURE,6,0,6,0,NO,NO,NO,NA,0,0,0,504,0,0,30000,0,30504,0
20100100,2010,2010-01-13T15:30:00Z,22855,"KOCH PIPELINE COMPANY, L.P.",ONSHORE,ABOVEGROUND,CRUDE OIL,MENAHGA,HUBBARD,MN,46.8197,-95.1489,INCORRECT OPERATION,0.48,0,0,0.48,NO,NO,NO,0,0,0,0,34,0,0,64645,2000,66679,0
20100057,2010,2010-01-14T13:15:00Z,10250,KIANTONE PIPELINE CORP,ONSHORE,ABOVEGROUND,CRUDE OIL,GOWANDA,CATTARAUGUS,NY,42.38229,-78.91763,NATURAL FORCE DAMAGE,0.24,NA,0.2,0.04,NO,NO,NO,NA,0,0,5000,17,0,50000,20000,0,75017,0
20110083,2010,2010-01-15T07:05:00Z,31325,PACIFIC PIPELINE SYSTEM LLC,ONSHORE,ABOVEGROUND,CRUDE OIL,CARSON,LOS ANGELES,CA,33.80933,-118.25413,OTHER OUTSIDE FORCE DAMAGE,1,0,1,0,NO,NO,NO,NA,0,0,0,75000,0,1000000,3500000,0,4575000,0
20100231,2010,2010-01-15T15:00:00Z,9175,JAYHAWK PIPELINE LLC,ONSHORE,UNDERGROUND,CRUDE OIL,ELLIS,ELLIS,KS,38.81386,-99.42139,CORROSION,5,NA,2,3,NO,NO,YES,NA,0,0,0,180,700,0,1500,1500,3880,1190
